Date;USD
31/12/2002;2.627934452
7/01/2003;2.713070015
14/01/2003;2.42227899
21/01/2003;2.33612338
28/01/2003;2.370311191
4/02/2003;2.394388703
11/02/2003;2.181083355
18/02/2003;2.126387424
25/02/2003;2.048508532
4/03/2003;1.757849735
11/03/2003;1.89564913
18/03/2003;1.760659534
25/03/2003;1.64922868
1/04/2003;1.826512289
8/04/2003;1.855486914
15/04/2003;1.86934479
22/04/2003;2.029472495
29/04/2003;2.246841826
6/05/2003;2.125944957
13/05/2003;2.099153789
20/05/2003;2.109474619
27/05/2003;2.263699799
3/06/2003;2.26108532
10/06/2003;2.339386907
17/06/2003;2.170611641
24/06/2003;1.939641836
1/07/2003;1.86874766
8/07/2003;1.641019305
15/07/2003;1.635648864
22/07/2003;1.648113863
29/07/2003;1.916197106
5/08/2003;1.828671644
12/08/2003;1.973897224
19/08/2003;1.891909486
26/08/2003;1.879575709
2/09/2003;1.915099422
9/09/2003;2.100740585
16/09/2003;2.188479458
23/09/2003;2.158679718
30/09/2003;2.202468738
7/10/2003;2.276111242
14/10/2003;2.194038419
21/10/2003;2.171647754
28/10/2003;2.169411612
4/11/2003;2.070050934
11/11/2003;2.029894448
18/11/2003;2.113613603
25/11/2003;2.134082984
2/12/2003;2.158914065
9/12/2003;2.174370262
16/12/2003;2.110385185
23/12/2003;2.08911181
30/12/2003;2.025759827
6/01/2004;2.143965507
13/01/2004;2.22560048
20/01/2004;2.14348908
27/01/2004;2.031470318
3/02/2004;2.098236226
10/02/2004;2.139572365
17/02/2004;2.206470371
24/02/2004;2.20095018
2/03/2004;2.110699583
9/03/2004;2.020889919
16/03/2004;1.873415962
23/03/2004;1.884239201
30/03/2004;1.929965053
6/04/2004;1.954074667
13/04/2004;1.926559331
20/04/2004;1.993484253
27/04/2004;1.885620613
4/05/2004;1.875310835
11/05/2004;1.77238131
18/05/2004;1.799662783
25/05/2004;2.012184562
1/06/2004;2.127466881
8/06/2004;2.117795085
15/06/2004;2.200831237
22/06/2004;2.328236957
29/06/2004;2.230705382
6/07/2004;2.206180808
13/07/2004;2.17499484
20/07/2004;2.176215285
27/07/2004;2.15886434
3/08/2004;1.984845853
10/08/2004;2.063438433
17/08/2004;2.049413399
24/08/2004;1.977442848
31/08/2004;2.083471048
7/09/2004;2.057259794
14/09/2004;2.13897171
21/09/2004;1.97865796
28/09/2004;1.9984008
5/10/2004;1.939228296
12/10/2004;1.915827569
19/10/2004;1.896211955
26/10/2004;1.988556878
2/11/2004;2.001048169
9/11/2004;2.075856841
16/11/2004;2.063190314
23/11/2004;2.022736523
30/11/2004;2.184597453
7/12/2004;2.251485159
14/12/2004;2.119653168
21/12/2004;2.197081722
28/12/2004;2.281837971
4/01/2005;2.245948821
11/01/2005;2.259016415
18/01/2005;2.177874238
25/01/2005;2.222106375
1/02/2005;2.103052092
8/02/2005;2.170680915
15/02/2005;2.038031198
22/02/2005;2.129820427
1/03/2005;2.118300249
8/03/2005;2.128975661
15/03/2005;2.070402908
22/03/2005;2.040642725
29/03/2005;1.945461392
5/04/2005;1.877136297
12/04/2005;1.697909188
19/04/2005;1.856187271
26/04/2005;1.848948979
3/05/2005;1.909856823
10/05/2005;1.988900279
17/05/2005;1.956188586
24/05/2005;1.902751551
31/05/2005;2.048284905
7/06/2005;2.042264019
14/06/2005;2.096835243
21/06/2005;1.982974287
28/06/2005;2.002058507
5/07/2005;2.077554893
12/07/2005;2.317440331
19/07/2005;2.31477319
26/07/2005;2.3922054
2/08/2005;2.329849584
9/08/2005;2.306455576
16/08/2005;2.543449227
23/08/2005;2.393207838
30/08/2005;2.50370281
6/09/2005;2.648118282
13/09/2005;2.481033614
20/09/2005;2.476448792
27/09/2005;2.510113623
4/10/2005;2.345875315
11/10/2005;2.343836664
18/10/2005;2.319148171
25/10/2005;2.298370656
1/11/2005;2.375702984
8/11/2005;2.349940965
15/11/2005;2.308922707
22/11/2005;2.263949991
29/11/2005;2.43871784
6/12/2005;2.456372205
13/12/2005;2.461208181
20/12/2005;2.396979784
27/12/2005;2.49228308
3/01/2006;2.609192713
10/01/2006;2.818859987
17/01/2006;2.701549673
24/01/2006;2.746311093
31/01/2006;2.744178294
7/02/2006;2.762120688
14/02/2006;2.841242146
21/02/2006;2.993970236
28/02/2006;2.980624785
7/03/2006;3.032777631
14/03/2006;3.224647717
